instancia,algoritmo,replica,semilla,n_estaciones,fitness,tiempo_seg,eficiencia,factible
pequeña_20t,GA,0,42,5,0.0,2.7362,90.00,True
pequeña_20t,GA,1,1042,5,0.0,2.0603,90.00,True
pequeña_20t,GA,2,2042,5,0.0,2.0941,90.00,True
pequeña_20t,GA,3,3042,5,0.0,2.9710,90.00,True
pequeña_20t,GA,4,4042,5,0.0,2.0923,90.00,True
pequeña_20t,GA,5,5042,5,0.0,2.8711,90.00,True
pequeña_20t,GA,6,6042,5,0.0,1.9449,90.00,True
pequeña_20t,GA,7,7042,5,0.0,2.2341,90.00,True
pequeña_20t,GA,8,8042,5,0.0,2.9381,90.00,True
pequeña_20t,GA,9,9042,5,0.0,2.0794,90.00,True
pequeña_20t,GA,10,10042,5,0.0,3.1537,90.00,True
pequeña_20t,GA,11,11042,5,0.0,2.2387,90.00,True
pequeña_20t,GA,12,12042,5,0.0,2.7728,90.00,True
pequeña_20t,GA,13,13042,5,0.0,3.5875,90.00,True
pequeña_20t,GA,14,14042,5,0.0,1.9700,90.00,True
pequeña_20t,GA,15,15042,5,0.0,3.1278,90.00,True
pequeña_20t,GA,16,16042,5,0.0,2.2765,90.00,True
pequeña_20t,GA,17,17042,5,0.0,2.2364,90.00,True
pequeña_20t,GA,18,18042,5,0.0,2.8948,90.00,True
pequeña_20t,GA,19,19042,5,0.0,2.2604,90.00,True
pequeña_20t,GA,20,20042,5,0.0,2.6950,90.00,True
pequeña_20t,GA,21,21042,5,0.0,1.9230,90.00,True
pequeña_20t,GA,22,22042,5,0.0,1.9492,90.00,True
pequeña_20t,GA,23,23042,5,0.0,2.7481,90.00,True
pequeña_20t,GA,24,24042,5,0.0,2.2737,90.00,True
pequeña_20t,GA,25,25042,5,0.0,2.6626,90.00,True
pequeña_20t,GA,26,26042,5,0.0,1.9465,90.00,True
pequeña_20t,GA,27,27042,5,0.0,1.9215,90.00,True
pequeña_20t,GA,28,28042,5,0.0,2.7645,90.00,True
pequeña_20t,GA,29,29042,5,0.0,1.9174,90.00,True
pequeña_20t,TS,0,42,5,0.0,1.0019,90.00,True
pequeña_20t,TS,1,1042,5,0.0,1.3995,90.00,True
pequeña_20t,TS,2,2042,5,0.0,1.4633,90.00,True
pequeña_20t,TS,3,3042,5,0.0,1.0528,90.00,True
pequeña_20t,TS,4,4042,5,0.0,1.0488,90.00,True
pequeña_20t,TS,5,5042,5,0.0,1.0848,90.00,True
pequeña_20t,TS,6,6042,5,0.0,1.9350,90.00,True
pequeña_20t,TS,7,7042,5,0.0,1.0261,90.00,True
pequeña_20t,TS,8,8042,5,0.0,1.0713,90.00,True
pequeña_20t,TS,9,9042,5,0.0,1.0201,90.00,True
pequeña_20t,TS,10,10042,5,0.0,1.0022,90.00,True
pequeña_20t,TS,11,11042,5,0.0,1.8995,90.00,True
pequeña_20t,TS,12,12042,5,0.0,0.9757,90.00,True
pequeña_20t,TS,13,13042,5,0.0,0.9963,90.00,True
pequeña_20t,TS,14,14042,5,0.0,1.0115,90.00,True
pequeña_20t,TS,15,15042,5,0.0,1.0393,90.00,True
pequeña_20t,TS,16,16042,5,0.0,2.1323,90.00,True
pequeña_20t,TS,17,17042,5,0.0,1.0617,90.00,True
pequeña_20t,TS,18,18042,5,0.0,1.0665,90.00,True
pequeña_20t,TS,19,19042,5,0.0,1.2465,90.00,True
pequeña_20t,TS,20,20042,5,0.0,1.0509,90.00,True
pequeña_20t,TS,21,21042,5,0.0,1.9482,90.00,True
pequeña_20t,TS,22,22042,5,0.0,1.0423,90.00,True
pequeña_20t,TS,23,23042,5,0.0,0.9956,90.00,True
pequeña_20t,TS,24,24042,5,0.0,0.9984,90.00,True
pequeña_20t,TS,25,25042,5,0.0,1.0655,90.00,True
pequeña_20t,TS,26,26042,5,0.0,1.7509,90.00,True
pequeña_20t,TS,27,27042,5,0.0,1.0759,90.00,True
pequeña_20t,TS,28,28042,5,0.0,1.0220,90.00,True
pequeña_20t,TS,29,29042,5,0.0,1.0248,90.00,True
pequeña_20t,Hybrid,0,42,5,0.0,2.6934,90.00,True
pequeña_20t,Hybrid,1,1042,5,0.0,1.7620,90.00,True
pequeña_20t,Hybrid,2,2042,5,0.0,1.8312,90.00,True
pequeña_20t,Hybrid,3,3042,5,0.0,2.6225,90.00,True
pequeña_20t,Hybrid,4,4042,5,0.0,1.8937,90.00,True
pequeña_20t,Hybrid,5,5042,5,0.0,2.1569,90.00,True
pequeña_20t,Hybrid,6,6042,5,0.0,2.3293,90.00,True
pequeña_20t,Hybrid,7,7042,5,0.0,1.9256,90.00,True
pequeña_20t,Hybrid,8,8042,5,0.0,2.6148,90.00,True
pequeña_20t,Hybrid,9,9042,5,0.0,1.8127,90.00,True
pequeña_20t,Hybrid,10,10042,5,0.0,1.8424,90.00,True
pequeña_20t,Hybrid,11,11042,5,0.0,2.7009,90.00,True
pequeña_20t,Hybrid,12,12042,5,0.0,1.7961,90.00,True
pequeña_20t,Hybrid,13,13042,5,0.0,1.8029,90.00,True
pequeña_20t,Hybrid,14,14042,5,0.0,2.5564,90.00,True
pequeña_20t,Hybrid,15,15042,5,0.0,1.7836,90.00,True
pequeña_20t,Hybrid,16,16042,5,0.0,2.1585,90.00,True
pequeña_20t,Hybrid,17,17042,5,0.0,2.4052,90.00,True
pequeña_20t,Hybrid,18,18042,5,0.0,1.8459,90.00,True
pequeña_20t,Hybrid,19,19042,5,0.0,2.8230,90.00,True
pequeña_20t,Hybrid,20,20042,5,0.0,2.0688,90.00,True
pequeña_20t,Hybrid,21,21042,5,0.0,1.9714,90.00,True
pequeña_20t,Hybrid,22,22042,5,0.0,2.7198,90.00,True
pequeña_20t,Hybrid,23,23042,5,0.0,2.0552,90.00,True
pequeña_20t,Hybrid,24,24042,5,0.0,1.9815,90.00,True
pequeña_20t,Hybrid,25,25042,5,0.0,2.5481,90.00,True
pequeña_20t,Hybrid,26,26042,5,0.0,1.8377,90.00,True
pequeña_20t,Hybrid,27,27042,5,0.0,2.5637,90.00,True
pequeña_20t,Hybrid,28,28042,5,0.0,1.8245,90.00,True
pequeña_20t,Hybrid,29,29042,5,0.0,1.7959,90.00,True
mediana_40t,GA,0,42,10,0.0,5.1491,90.50,True
mediana_40t,GA,1,1042,10,0.0,4.1146,90.50,True
mediana_40t,GA,2,2042,10,0.0,4.0636,90.50,True
mediana_40t,GA,3,3042,10,0.0,4.9085,90.50,True
mediana_40t,GA,4,4042,10,0.0,4.9214,90.50,True
mediana_40t,GA,5,5042,10,0.0,5.2525,90.50,True
mediana_40t,GA,6,6042,10,0.0,4.3799,90.50,True
mediana_40t,GA,7,7042,10,0.0,4.9625,90.50,True
mediana_40t,GA,8,8042,10,0.0,5.4009,90.50,True
mediana_40t,GA,9,9042,10,0.0,5.3405,90.50,True
mediana_40t,GA,10,10042,10,0.0,5.2582,90.50,True
mediana_40t,GA,11,11042,10,0.0,5.1583,90.50,True
mediana_40t,GA,12,12042,10,0.0,4.3650,90.50,True
mediana_40t,GA,13,13042,10,0.0,5.2792,90.50,True
mediana_40t,GA,14,14042,10,0.0,4.8057,90.50,True
mediana_40t,GA,15,15042,10,0.0,4.9087,90.50,True
mediana_40t,GA,16,16042,10,0.0,4.2479,90.50,True
mediana_40t,GA,17,17042,10,0.0,4.1980,90.50,True
mediana_40t,GA,18,18042,10,0.0,3.8994,90.50,True
mediana_40t,GA,19,19042,10,0.0,3.9093,90.50,True
mediana_40t,GA,20,20042,10,0.0,3.9365,90.50,True
mediana_40t,GA,21,21042,10,0.0,4.1409,90.50,True
mediana_40t,GA,22,22042,10,0.0,3.9968,90.50,True
mediana_40t,GA,23,23042,10,0.0,3.8276,90.50,True
mediana_40t,GA,24,24042,10,0.0,3.9775,90.50,True
mediana_40t,GA,25,25042,10,0.0,4.1685,90.50,True
mediana_40t,GA,26,26042,10,0.0,4.1246,90.50,True
mediana_40t,GA,27,27042,10,0.0,3.8482,90.50,True
mediana_40t,GA,28,28042,10,0.0,3.8661,90.50,True
mediana_40t,GA,29,29042,10,0.0,4.6954,90.50,True
mediana_40t,TS,0,42,10,0.0,4.0780,90.50,True
mediana_40t,TS,1,1042,10,0.0,4.8425,90.50,True
