"MESES","2017","2018","2019","2020","2021"
"Ene","131.660","126.092","134.115","143.718","133.651"
"Feb","130.485","128.870","135.908","147.147","134.213"
"Mar","121.953","125.704","129.794","137.739","129.669"
"Abr","123.963","133.765","131.683","136.480","145.854"
"May","122.846","137.389","140.610","116.093","147.161"
"Jun","126.746","141.775","147.000","102.369","128.269"
"Jul","130.163","137.682","139.212","118.465","129.431"
"Ago","128.388","138.701","139.891","138.649",""
"Sep","136.740","143.772","149.043","143.974",""
"Oct","134.601","134.468","143.802","144.064",""
"Nov","138.999","140.107","152.613","148.785",""
"Dic","137.025","141.323","149.507","142.301",""
