product,month,value
pechuga,1,13800
pechuga,2,13900
pechuga,3,14000
pechuga,4,14100
pechuga,5,14200
pechuga,6,14300
pechuga,7,14250
pechuga,8,14200
pechuga,9,14100
pechuga,10,14050
pechuga,11,14200
pechuga,12,14500
pernil_completo,1,10800
pernil_completo,2,10850
pernil_completo,3,10950
pernil_completo,4,11000
pernil_completo,5,11100
pernil_completo,6,11200
pernil_completo,7,11150
pernil_completo,8,11100
pernil_completo,9,11050
pernil_completo,10,11000
pernil_completo,11,11150
pernil_completo,12,11350
muslo,1,8900
muslo,2,8950
muslo,3,9000
muslo,4,9050
muslo,5,9100
muslo,6,9150
muslo,7,9125
muslo,8,9100
muslo,9,9050
muslo,10,9025
muslo,11,9100
muslo,12,9200
ala,1,5900
ala,2,5950
ala,3,6000
ala,4,6050
ala,5,6100
ala,6,6150
ala,7,6125
ala,8,6100
ala,9,6050
ala,10,6025
ala,11,6100
ala,12,6200
menudencias,1,3900
menudencias,2,3920
menudencias,3,3950
menudencias,4,3980
menudencias,5,4010
menudencias,6,4040
menudencias,7,4030
menudencias,8,4015
menudencias,9,3990
menudencias,10,3980
menudencias,11,4020
menudencias,12,4080
