algorithm,size,complexity,elapsed_mean,elapsed_std,eval_mean,n_runs
baseline,small,1440,0.013814767201741499,0.006344224376177804,1.0,3
baseline,medium,3600,0.03071753184000647,0.0010609555333501023,1.0,3
baseline,large,19200,0.29286638895670575,0.19284148690759897,1.0,3
cbc_exact,small,1440,0.7147138913472494,0.023858686813134623,0.0,3
cbc_exact,medium,3600,2.3077704111735025,0.19220324547810938,0.0,3
cbc_exact,large,19200,28.940957228342693,5.202729728444032,0.0,3
de,small,1440,67.26082883146074,16.80973233082316,10311.644444444444,90
de,medium,3600,154.3771963145998,61.700660588162634,10312.3,90
de,large,19200,679.0727080901464,657.8167570172754,10695.866666666667,90
ga,small,1440,51.56112432744768,16.201038078356675,8734.755555555555,90
ga,medium,3600,77.85948735078176,13.968578908115566,8765.033333333333,90
ga,large,19200,1238.452280799548,1474.0967319769868,16091.433333333332,90
ga_sa,small,1440,62.48283030986786,40.60002800375146,6109.855555555556,90
ga_sa,medium,3600,84.04638442198436,22.773223486656278,6149.011111111111,90
ga_sa,large,19200,958.0500727097193,738.0647323120565,13704.077777777778,90
sa,small,1440,11.988565063476562,4.769707965166133,767.7666666666667,90
sa,medium,3600,10.908108568191528,2.4619003168903624,766.6111111111111,90
sa,large,19200,61.1608241531584,14.794379616584505,768.9555555555555,90
