         12815161 function calls in 18.943 seconds

   Ordered by: cumulative time
   List reduced from 62 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.012    0.012   18.950   18.950 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\sa.py:76(solve)
      760   15.277    0.020   18.648    0.025 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\model\decoder.py:24(decode)
      703    0.008    0.000   17.231    0.025 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\base.py:69(evaluate_fitness)
       57    0.001    0.000    1.598    0.028 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\base.py:99(evaluate_and_get_solution)
  5472000    1.225    0.000    1.225    0.000 {built-in method builtins.sum}
  2757788    0.901    0.000    0.901    0.000 {built-in method builtins.min}
  3743512    0.506    0.000    0.506    0.000 {method 'append' of 'list' objects}
   459041    0.334    0.000    0.334    0.000 {built-in method numpy.zeros}
    35224    0.052    0.000    0.272    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:2836(min)
    35694    0.084    0.000    0.232    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
      760    0.052    0.000    0.151    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\model\objective.py:101(evaluate_vectorized)
    37214    0.127    0.000    0.127    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      702    0.006    0.000    0.091    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\sa.py:142(_generate_neighbor)
     2280    0.003    0.000    0.063    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\core\einsumfunc.py:1009(einsum)
     2280    0.060    0.000    0.060    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
      760    0.005    0.000    0.059    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\model\decoder.py:133(_build_cut_activation)
      760    0.013    0.000    0.051    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\lib\shape_base.py:1185(tile)
