algorithm,tau,rho,n_cases
ga,1.0,0.0,270
ga,1.1081621200167286,0.0,270
ga,1.2163242400334573,0.0,270
ga,1.324486360050186,0.0,270
ga,1.4326484800669146,0.0,270
ga,1.5408106000836432,0.0,270
ga,1.6489727201003719,0.0,270
ga,1.7571348401171005,0.0,270
ga,1.8652969601338292,0.0,270
ga,1.9734590801505578,0.0,270
ga,2.0816212001672865,0.0,270
ga,2.1897833201840147,0.0,270
ga,2.2979454402007438,0.0,270
ga,2.406107560217472,0.003703703703703704,270
ga,2.514269680234201,0.003703703703703704,270
ga,2.6224318002509293,0.007407407407407408,270
ga,2.7305939202676583,0.007407407407407408,270
ga,2.8387560402843866,0.011111111111111112,270
ga,2.9469181603011156,0.022222222222222223,270
ga,3.055080280317844,0.02962962962962963,270
ga,3.1632424003345725,0.03333333333333333,270
ga,3.271404520351301,0.040740740740740744,270
ga,3.37956664036803,0.044444444444444446,270
ga,3.4877287603847584,0.044444444444444446,270
ga,3.595890880401487,0.04814814814814815,270
ga,3.7040530004182157,0.05555555555555555,270
ga,3.8122151204349444,0.06666666666666667,270
ga,3.920377240451673,0.08888888888888889,270
ga,4.028539360468402,0.1,270
ga,4.13670148048513,0.12222222222222222,270
ga,4.2448636005018585,0.14074074074074075,270
ga,4.353025720518588,0.15555555555555556,270
ga,4.461187840535317,0.17407407407407408,270
ga,4.569349960552045,0.1925925925925926,270
ga,4.677512080568773,0.2222222222222222,270
ga,4.785674200585502,0.23333333333333334,270
ga,4.893836320602231,0.25555555555555554,270
ga,5.0019984406189595,0.26296296296296295,270
ga,5.110160560635688,0.29259259259259257,270
ga,5.218322680652417,0.3111111111111111,270
ga,5.326484800669145,0.32592592592592595,270
ga,5.434646920685874,0.34814814814814815,270
ga,5.542809040702602,0.35555555555555557,270
ga,5.650971160719331,0.35555555555555557,270
ga,5.75913328073606,0.37407407407407406,270
ga,5.867295400752789,0.3962962962962963,270
ga,5.975457520769517,0.4074074074074074,270
ga,6.083619640786246,0.4148148148148148,270
ga,6.191781760802974,0.42962962962962964,270
ga,6.299943880819703,0.43333333333333335,270
ga,6.4081060008364314,0.44074074074074077,270
ga,6.5162681208531605,0.44074074074074077,270
ga,6.624430240869889,0.4444444444444444,270
ga,6.732592360886618,0.45185185185185184,270
ga,6.840754480903346,0.45925925925925926,270
ga,6.948916600920075,0.46296296296296297,270
ga,7.057078720936803,0.4703703703703704,270
ga,7.165240840953532,0.4777777777777778,270
ga,7.273402960970261,0.48518518518518516,270
ga,7.38156508098699,0.4962962962962963,270
ga,7.489727201003718,0.5074074074074074,270
ga,7.597889321020447,0.5148148148148148,270
ga,7.706051441037175,0.5259259259259259,270
ga,7.814213561053904,0.5370370370370371,270
ga,7.9223756810706325,0.5481481481481482,270
ga,8.03053780108736,0.562962962962963,270
ga,8.13869992110409,0.5703703703703704,270
ga,8.246862041120817,0.5925925925925926,270
ga,8.355024161137546,0.6,270
ga,8.463186281154275,0.6037037037037037,270
ga,8.571348401171004,0.6074074074074074,270
ga,8.679510521187733,0.6074074074074074,270
ga,8.787672641204463,0.6148148148148148,270
ga,8.89583476122119,0.6222222222222222,270
