algorithm,n_evaluations,mean_norm_z,std_norm_z,n_runs
sa,0.0,0.0,0.0,1
sa,4.955974842767295,0.0,0.0,1
sa,9.91194968553459,0.0025949145691136336,0.0,1
sa,14.867924528301886,0.0027144172137438674,0.0,1
sa,19.82389937106918,0.05003042913372914,0.0,1
sa,24.77987421383648,0.06549736130514161,0.0,1
sa,29.735849056603772,0.09556287080735915,0.0,1
sa,34.691823899371066,0.10645191185949252,0.0,1
sa,39.64779874213836,0.14446269847289306,0.0,1
sa,44.60377358490566,0.15820535919018808,0.0,1
sa,49.55974842767296,0.1609157882114715,0.0,1
sa,54.51572327044025,0.17968440762685448,0.0,1
sa,59.471698113207545,0.17968440762685448,0.0,1
sa,64.42767295597484,0.17968440762685448,0.0,1
sa,69.38364779874213,0.17968440762685448,0.0,1
sa,74.33962264150944,0.22937400479887962,0.0,1
sa,79.29559748427673,0.2317015866329174,0.0,1
sa,84.25157232704402,0.23471591523095153,0.0,1
sa,89.20754716981132,0.24154448983571183,0.0,1
sa,94.16352201257861,0.2693273231077818,0.0,1
sa,99.11949685534591,0.2693273231077818,0.0,1
sa,104.0754716981132,0.28559466554122714,0.0,1
sa,109.0314465408805,0.2910032507131924,0.0,1
sa,113.9874213836478,0.4029737283163481,0.0,1
sa,118.94339622641509,0.4029737283163481,0.0,1
sa,123.89937106918238,0.4029737283163481,0.0,1
sa,128.85534591194968,0.42027155107799535,0.0,1
sa,133.81132075471697,0.4247860991717302,0.0,1
sa,138.76729559748426,0.4247860991717302,0.0,1
sa,143.72327044025155,0.45471553005465826,0.0,1
sa,148.67924528301887,0.45471553005465826,0.0,1
sa,153.63522012578616,0.48159198063495806,0.0,1
sa,158.59119496855345,0.48159198063495806,0.0,1
sa,163.54716981132074,0.5043839266817701,0.0,1
sa,168.50314465408803,0.5043839266817701,0.0,1
sa,173.45911949685535,0.5325559324549897,0.0,1
sa,178.41509433962264,0.5325559324549897,0.0,1
sa,183.37106918238993,0.5690064477611148,0.0,1
sa,188.32704402515722,0.5690064477611148,0.0,1
sa,193.2830188679245,0.5690064477611148,0.0,1
sa,198.23899371069183,0.5690064477611148,0.0,1
sa,203.19496855345912,0.5783941757145953,0.0,1
sa,208.1509433962264,0.5924500206272998,0.0,1
sa,213.1069182389937,0.5931048526859303,0.0,1
sa,218.062893081761,0.6046992320769773,0.0,1
sa,223.01886792452828,0.6046992320769773,0.0,1
sa,227.9748427672956,0.6125618232604799,0.0,1
sa,232.9308176100629,0.6237294372964873,0.0,1
sa,237.88679245283018,0.6300630953324509,0.0,1
sa,242.84276729559747,0.6380138575478095,0.0,1
sa,247.79874213836476,0.6380138575478095,0.0,1
sa,252.75471698113208,0.6461947778149243,0.0,1
sa,257.71069182389937,0.6461947778149243,0.0,1
sa,262.66666666666663,0.6477030111482028,0.0,1
sa,267.62264150943395,0.6507194778147601,0.0,1
sa,272.57861635220127,0.671884877577175,0.0,1
sa,277.5345911949685,0.671884877577175,0.0,1
sa,282.49056603773585,0.671884877577175,0.0,1
sa,287.4465408805031,0.671884877577175,0.0,1
sa,292.4025157232704,0.6842759389371329,0.0,1
sa,297.35849056603774,0.6842759389371329,0.0,1
sa,302.314465408805,0.6985603591884552,0.0,1
sa,307.2704402515723,0.6985603591884552,0.0,1
sa,312.2264150943396,0.6985603591884552,0.0,1
sa,317.1823899371069,0.6985603591884552,0.0,1
sa,322.1383647798742,0.7223368388452855,0.0,1
sa,327.0943396226415,0.7587522017241664,0.0,1
sa,332.0503144654088,0.7594815684757229,0.0,1
sa,337.00628930817606,0.7877445300985416,0.0,1
sa,341.9622641509434,0.7877445300985416,0.0,1
sa,346.9182389937107,0.7877445300985416,0.0,1
sa,351.87421383647796,0.7877445300985416,0.0,1
sa,356.8301886792453,0.7877445300985416,0.0,1
sa,361.78616352201254,0.8335448024625374,0.0,1
sa,366.74213836477986,0.8335448024625374,0.0,1
sa,371.6981132075472,0.8335448024625374,0.0,1
sa,376.65408805031444,0.8335448024625374,0.0,1
sa,381.61006289308176,0.8335448024625374,0.0,1
sa,386.566037735849,0.8393979990874555,0.0,1
sa,391.52201257861634,0.8668787327307577,0.0,1
sa,396.47798742138366,0.8668787327307577,0.0,1
sa,401.4339622641509,0.8695589596056964,0.0,1
sa,406.38993710691824,0.8842803848848554,0.0,1
sa,411.3459119496855,0.8864965944515818,0.0,1
sa,416.3018867924528,0.8864965944515818,0.0,1
sa,421.2578616352201,0.8864965944515818,0.0,1
sa,426.2138364779874,0.8864965944515818,0.0,1
sa,431.1698113207547,0.8864965944515818,0.0,1
sa,436.125786163522,0.8864965944515818,0.0,1
sa,441.0817610062893,0.8864965944515818,0.0,1
sa,446.03773584905656,0.8864965944515818,0.0,1
sa,450.9937106918239,0.8864965944515818,0.0,1
sa,455.9496855345912,0.8864965944515818,0.0,1
sa,460.90566037735846,0.8864965944515818,0.0,1
sa,465.8616352201258,0.8868886490710931,0.0,1
sa,470.81761006289304,0.8868886490710931,0.0,1
sa,475.77358490566036,0.8868886490710931,0.0,1
