         5541166 function calls in 18.207 seconds

   Ordered by: cumulative time
   List reduced from 62 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.019    0.019   18.221   18.221 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\sa.py:76(solve)
      788   14.109    0.018   17.660    0.022 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\model\decoder.py:24(decode)
      730    0.017    0.000   16.609    0.023 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\base.py:69(evaluate_fitness)
       58    0.001    0.000    1.360    0.023 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\base.py:99(evaluate_and_get_solution)
  2269440    1.102    0.000    1.102    0.000 {built-in method builtins.sum}
  1157251    0.832    0.000    0.832    0.000 {built-in method builtins.min}
    36548    0.131    0.000    0.648    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:2836(min)
    37044    0.179    0.000    0.545    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
  1548732    0.412    0.000    0.412    0.000 {method 'append' of 'list' objects}
   192273    0.375    0.000    0.375    0.000 {built-in method numpy.zeros}
    38620    0.306    0.000    0.306    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      788    0.082    0.000    0.246    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\model\objective.py:101(evaluate_vectorized)
      729    0.013    0.000    0.204    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\sa.py:142(_generate_neighbor)
     2364    0.006    0.000    0.112    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\core\einsumfunc.py:1009(einsum)
     2364    0.106    0.000    0.106    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
     1517    0.063    0.000    0.095    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\encoding.py:75(repair_lot_sizing)
      496    0.021    0.000    0.094    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\metaheuristics\encoding.py:113(neighborhood_toggle)
    37044    0.078    0.000    0.078    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:72(<dictcomp>)
      496    0.034    0.000    0.069    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      788    0.013    0.000    0.063    0.000 C:\Users\facem\OneDrive\Documentos\Maestría\OBC\src\model\decoder.py:133(_build_cut_activation)
      788    0.027    0.000    0.046    0.000 C:\Users\facem\AppData\Roaming\Python\Python311\site-packages\numpy\lib\shape_base.py:1185(tile)
     1576    0.004    0.000    0.042    0.000 {method 'sum' of 'numpy.ndarray' objects}
    10705    0.041    0.000    0.041    0.000 {method 'astype' of 'numpy.ndarray' objects}
