algorithm,tau,rho,n_cases
sa,1.0,1.0,1
sa,1.0100502512562815,1.0,1
sa,1.020100502512563,1.0,1
sa,1.0301507537688441,1.0,1
sa,1.0402010050251256,1.0,1
sa,1.050251256281407,1.0,1
sa,1.0603015075376885,1.0,1
sa,1.07035175879397,1.0,1
sa,1.0804020100502512,1.0,1
sa,1.0904522613065326,1.0,1
sa,1.100502512562814,1.0,1
sa,1.1105527638190955,1.0,1
sa,1.120603015075377,1.0,1
sa,1.1306532663316582,1.0,1
sa,1.1407035175879396,1.0,1
sa,1.150753768844221,1.0,1
sa,1.1608040201005025,1.0,1
sa,1.170854271356784,1.0,1
sa,1.1809045226130652,1.0,1
sa,1.1909547738693467,1.0,1
sa,1.2010050251256281,1.0,1
sa,1.2110552763819096,1.0,1
sa,1.221105527638191,1.0,1
sa,1.2311557788944723,1.0,1
sa,1.2412060301507537,1.0,1
sa,1.2512562814070352,1.0,1
sa,1.2613065326633166,1.0,1
sa,1.271356783919598,1.0,1
sa,1.2814070351758793,1.0,1
sa,1.2914572864321607,1.0,1
sa,1.3015075376884422,1.0,1
sa,1.3115577889447236,1.0,1
sa,1.321608040201005,1.0,1
sa,1.3316582914572863,1.0,1
sa,1.3417085427135678,1.0,1
sa,1.3517587939698492,1.0,1
sa,1.3618090452261307,1.0,1
sa,1.3718592964824121,1.0,1
sa,1.3819095477386933,1.0,1
sa,1.391959798994975,1.0,1
sa,1.4020100502512562,1.0,1
sa,1.4120603015075377,1.0,1
sa,1.4221105527638191,1.0,1
sa,1.4321608040201004,1.0,1
sa,1.442211055276382,1.0,1
sa,1.4522613065326633,1.0,1
sa,1.4623115577889447,1.0,1
sa,1.4723618090452262,1.0,1
sa,1.4824120603015074,1.0,1
sa,1.492462311557789,1.0,1
sa,1.5025125628140703,1.0,1
sa,1.5125628140703518,1.0,1
sa,1.5226130653266332,1.0,1
sa,1.5326633165829144,1.0,1
sa,1.542713567839196,1.0,1
sa,1.5527638190954773,1.0,1
sa,1.5628140703517588,1.0,1
sa,1.5728643216080402,1.0,1
sa,1.5829145728643215,1.0,1
sa,1.5929648241206031,1.0,1
sa,1.6030150753768844,1.0,1
sa,1.6130653266331658,1.0,1
sa,1.6231155778894473,1.0,1
sa,1.6331658291457285,1.0,1
sa,1.6432160804020102,1.0,1
sa,1.6532663316582914,1.0,1
sa,1.6633165829145728,1.0,1
sa,1.6733668341708543,1.0,1
sa,1.6834170854271355,1.0,1
sa,1.6934673366834172,1.0,1
sa,1.7035175879396984,1.0,1
sa,1.7135678391959799,1.0,1
sa,1.7236180904522613,1.0,1
sa,1.7336683417085426,1.0,1
sa,1.7437185929648242,1.0,1
sa,1.7537688442211055,1.0,1
sa,1.763819095477387,1.0,1
sa,1.7738693467336684,1.0,1
sa,1.7839195979899498,1.0,1
sa,1.7939698492462313,1.0,1
sa,1.8040201005025125,1.0,1
sa,1.814070351758794,1.0,1
sa,1.8241206030150754,1.0,1
sa,1.8341708542713568,1.0,1
sa,1.8442211055276383,1.0,1
sa,1.8542713567839195,1.0,1
sa,1.864321608040201,1.0,1
sa,1.8743718592964824,1.0,1
sa,1.8844221105527639,1.0,1
sa,1.8944723618090453,1.0,1
sa,1.9045226130653266,1.0,1
sa,1.914572864321608,1.0,1
sa,1.9246231155778895,1.0,1
sa,1.934673366834171,1.0,1
sa,1.9447236180904524,1.0,1
sa,1.9547738693467336,1.0,1
sa,1.964824120603015,1.0,1
sa,1.9748743718592965,1.0,1
sa,1.984924623115578,1.0,1
sa,1.9949748743718594,1.0,1
sa,2.0050251256281406,1.0,1
sa,2.015075376884422,1.0,1
sa,2.0251256281407035,1.0,1
sa,2.035175879396985,1.0,1
sa,2.0452261306532664,1.0,1
sa,2.0552763819095476,1.0,1
sa,2.065326633165829,1.0,1
sa,2.0753768844221105,1.0,1
sa,2.085427135678392,1.0,1
sa,2.0954773869346734,1.0,1
sa,2.1055276381909547,1.0,1
sa,2.115577889447236,1.0,1
sa,2.1256281407035176,1.0,1
sa,2.1356783919597992,1.0,1
sa,2.1457286432160805,1.0,1
sa,2.1557788944723617,1.0,1
sa,2.165829145728643,1.0,1
sa,2.1758793969849246,1.0,1
sa,2.1859296482412063,1.0,1
sa,2.1959798994974875,1.0,1
sa,2.2060301507537687,1.0,1
sa,2.21608040201005,1.0,1
sa,2.2261306532663316,1.0,1
sa,2.2361809045226133,1.0,1
