algorithm,size_profile,n_pairs,mean_delta_z_pct,p05_delta_z_pct,p95_delta_z_pct,mean_delta_service_pp,mean_delta_low_rotation_pct,mean_delta_elapsed_pct
baseline,medium,5,14.076813020348629,14.07681302034863,14.07681302034863,8.17402462280608,-100.0,3.264732952614241
baseline,small,5,13.891752408387594,13.891752408387594,13.891752408387594,8.126683452700618,-100.0,14.403968349388979
cbc_exact,medium,1,13.872979394507794,13.872979394507794,13.872979394507794,8.188254770795716,-100.0,-0.9869534697635305
cbc_exact,small,1,13.72222516814397,13.72222516814397,13.72222516814397,8.137471018861604,-100.0,-6.005482873443153
de,medium,5,14.078326036944556,14.07681302034863,14.082865086732335,8.17435067305087,-100.0,53.65714830286888
de,small,5,13.891921336414025,13.889511637069784,13.894668891811133,8.126657690598933,-100.0,-7.948680069943423
ga,medium,5,14.076813020348629,14.07681302034863,14.07681302034863,8.17402462280608,-100.0,60.46690315390172
ga,small,5,13.891752408387594,13.891752408387594,13.891752408387594,8.126683452700618,-100.0,18.788382116814642
ga_sa,medium,5,14.076813020348629,14.07681302034863,14.07681302034863,8.17402462280608,-100.0,-22.724456749039877
ga_sa,small,5,13.891752408387594,13.891752408387594,13.891752408387594,8.126683452700618,-100.0,57.43851549885285
sa,medium,5,15.108060144880568,11.334450486868928,18.641981693454323,7.661756466927088,-100.0,20.40555534820868
sa,small,5,15.73784889270355,10.902792873080768,19.679953840500577,7.7820648355294555,-100.0,19.78882978564155
