algorithm,instance,seed,size_profile,demand_profile,instance_seed,run_seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible
baseline,medium_seasonal_seed42,1,medium,seasonal,42,1,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,0.0394880771636962,1,True
baseline,medium_seasonal_seed42,2,medium,seasonal,42,2,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,0.0388839244842529,1,True
baseline,medium_seasonal_seed42,3,medium,seasonal,42,3,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,0.0389044284820556,1,True
baseline,medium_seasonal_seed42,4,medium,seasonal,42,4,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,0.0394272804260253,1,True
baseline,medium_seasonal_seed42,5,medium,seasonal,42,5,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,0.0372793674468994,1,True
baseline,medium_stable_seed42,1,medium,stable,42,1,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,0.0418148040771484,1,True
baseline,medium_stable_seed42,2,medium,stable,42,2,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,0.0344789028167724,1,True
baseline,medium_stable_seed42,3,medium,stable,42,3,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,0.0378179550170898,1,True
baseline,medium_stable_seed42,4,medium,stable,42,4,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,0.0368177890777587,1,True
baseline,medium_stable_seed42,5,medium,stable,42,5,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,0.0375983715057373,1,True
baseline,small_seasonal_seed42,1,small,seasonal,42,1,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,0.017493724822998,1,True
baseline,small_seasonal_seed42,2,small,seasonal,42,2,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,0.0190188884735107,1,True
baseline,small_seasonal_seed42,3,small,seasonal,42,3,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,0.0181500911712646,1,True
baseline,small_seasonal_seed42,4,small,seasonal,42,4,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,0.0155591964721679,1,True
baseline,small_seasonal_seed42,5,small,seasonal,42,5,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,0.0230920314788818,1,True
baseline,small_stable_seed42,1,small,stable,42,1,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,0.0170328617095947,1,True
baseline,small_stable_seed42,2,small,stable,42,2,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,0.016050100326538,1,True
baseline,small_stable_seed42,3,small,stable,42,3,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,0.0148348808288574,1,True
baseline,small_stable_seed42,4,small,stable,42,4,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,0.0158262252807617,1,True
baseline,small_stable_seed42,5,small,stable,42,5,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,0.0177416801452636,1,True
cbc_exact,medium_seasonal_seed42,1,medium,seasonal,42,1,650515277.2701972,0.0,64.49855865029758,1490.7702570403335,0.0,12.392898797988892,0,True
cbc_exact,medium_stable_seed42,1,medium,stable,42,1,571263947.5397551,0.0,56.310303879501866,1109.2575942646663,571.3854174,12.516430139541626,0,True
cbc_exact,small_seasonal_seed42,1,small,seasonal,42,1,649963169.063035,0.0,64.3113093148575,1372.5870545008331,0.0,6.22697114944458,0,True
cbc_exact,small_stable_seed42,1,small,stable,42,1,571535746.9501077,0.0,56.17383829599589,946.5235453895832,491.173815,6.624823808670044,0,True
de,medium_seasonal_seed42,1,medium,seasonal,42,1,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,450.8653519153595,6247,True
de,medium_seasonal_seed42,2,medium,seasonal,42,2,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,422.5616056919098,6217,True
de,medium_seasonal_seed42,3,medium,seasonal,42,3,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,765.4090478420258,6251,True
de,medium_seasonal_seed42,4,medium,seasonal,42,4,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,741.3451182842255,6271,True
de,medium_seasonal_seed42,5,medium,seasonal,42,5,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,903.2622828483582,6223,True
de,medium_stable_seed42,1,medium,stable,42,1,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,405.4519650936127,6243,True
de,medium_stable_seed42,2,medium,stable,42,2,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,438.2810966968536,6213,True
de,medium_stable_seed42,3,medium,stable,42,3,551575019.6038299,,56.47938808850147,17938.48184044505,571.3854187049747,420.5383565425873,6250,True
de,medium_stable_seed42,4,medium,stable,42,4,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,439.9918885231018,6268,True
de,medium_stable_seed42,5,medium,stable,42,5,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,429.7686052322388,6223,True
de,small_seasonal_seed42,1,small,seasonal,42,1,628983266.5385001,,64.61016326626188,19524.82621872849,0.0,210.53884482383728,6247,True
de,small_seasonal_seed42,2,small,seasonal,42,2,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,194.1546185016632,6227,True
de,small_seasonal_seed42,3,small,seasonal,42,3,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,197.29264736175537,6251,True
de,small_seasonal_seed42,4,small,seasonal,42,4,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,192.12789583206177,6263,True
de,small_seasonal_seed42,5,small,seasonal,42,5,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,182.36439061164856,6223,True
de,small_stable_seed42,1,small,stable,42,1,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,226.45627069473267,6235,True
de,small_stable_seed42,2,small,stable,42,2,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,200.03239369392395,6213,True
