algorithm,instance,seed,size_profile,demand_profile,instance_seed,run_seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible
baseline,small_stable_seed42,1,small,stable,42,1,552277686.7837336,nan,56.4843758197804,17821.311832720072,491.17381517409456,0.021484851837158203,1,True
baseline,small_stable_seed42,2,small,stable,42,2,552277686.7837336,nan,56.4843758197804,17821.311832720072,491.17381517409456,0.018893718719482422,1,True
baseline,small_seasonal_seed42,1,small,seasonal,42,1,628998735.6385002,nan,64.61105927248101,19525.967677061817,0.0,0.01892828941345215,1,True
baseline,small_seasonal_seed42,2,small,seasonal,42,2,628998735.6385002,nan,64.61105927248101,19525.967677061817,0.0,0.019721269607543945,1,True
ga_sa,small_stable_seed42,1,small,stable,42,1,506899678.483283,nan,54.53037531578332,17237.40904124117,229.5038602376129,6.7874672412872314,654,True
ga_sa,small_stable_seed42,2,small,stable,42,2,475732529.8797736,nan,53.18618580240867,16796.808472708966,427.3738151740946,6.931223154067993,651,True
ga_sa,small_seasonal_seed42,1,small,seasonal,42,1,613290249.4673445,nan,63.76618800926587,18982.861747922147,0.0,6.993721008300781,657,True
ga_sa,small_seasonal_seed42,2,small,seasonal,42,2,554930223.3992594,nan,60.823058565393076,18274.704983409723,0.0,7.176003932952881,651,True
cbc_exact,small_stable_seed42,1,small,stable,42,1,571535746.9501077,0.0,56.17383829599589,946.5235453895833,491.173815,1.8015987873077393,0,True
cbc_exact,small_seasonal_seed42,1,small,seasonal,42,1,649963169.063035,0.0,64.3113093148575,1372.5870545008331,0.0,1.546584129333496,0,True
