trial,state,value,best_so_far,duration_seconds,param_pop_size,param_F,param_CR,param_strategy,user_eval_status
0,COMPLETE,395858509.09761107,395858509.09761107,86.063445,42,1.4408571676918993,0.8659969709057025,rand/1/bin,ok
1,COMPLETE,390874732.8400291,395858509.09761107,50.684883,29,0.3697003346018393,0.9330880728874675,best/1/bin,ok
2,COMPLETE,395108451.95085657,395858509.09761107,49.817694,21,1.463891822594393,0.9162213204002109,rand/1/bin,ok
3,COMPLETE,396268216.7127535,396268216.7127535,68.435054,31,0.6650906915514452,0.762378215816119,rand/1/bin,ok
4,COMPLETE,397085651.30494297,397085651.30494297,139.023977,57,0.4673926327824502,0.6460723242676091,best/1/bin,ok
5,COMPLETE,396650179.6848825,397085651.30494297,146.613594,67,0.5396085385900317,0.7571172192068059,rand/1/bin,ok
6,COMPLETE,397064924.3501709,397085651.30494297,120.095365,57,0.5046289484247498,0.5325257964926398,best/1/bin,ok
7,COMPLETE,396480007.1664888,397085651.30494297,151.338217,69,0.6655365230080448,0.5488360570031919,rand/1/bin,ok
8,COMPLETE,395695842.9681694,397085651.30494297,61.1503,27,0.8942122921335243,0.5171942605576092,rand/1/bin,ok
9,COMPLETE,396519898.04606164,397085651.30494297,131.750033,60,0.6740532913072932,0.7600340105889054,rand/1/bin,ok
10,COMPLETE,396541030.4475252,397085651.30494297,189.100567,78,1.1398500119059167,0.6285107829520156,best/1/bin,ok
11,COMPLETE,396679510.4947157,397085651.30494297,119.642217,48,0.3464702399534195,0.635581998719094,best/1/bin,ok
12,COMPLETE,396586775.0952753,397085651.30494297,119.604256,54,0.931910466473372,0.6307491747850489,best/1/bin,ok
13,COMPLETE,396547571.2481971,397085651.30494297,91.549957,42,0.5033133332091825,0.5707816539741417,best/1/bin,ok
14,COMPLETE,396574547.1126621,397085651.30494297,99.547147,60,0.8682540574084133,0.6883036557285724,best/1/bin,ok
15,COMPLETE,397086620.9877216,397086620.9877216,141.366761,51,0.31649568907101266,0.5111806322234641,best/1/bin,ok
16,COMPLETE,396575502.6496128,397086620.9877216,116.84848,48,0.3403030619213666,0.686788175377801,best/1/bin,ok
17,COMPLETE,385392362.8223408,397086620.9877216,37.266151,38,0.30370094708459566,0.9996812193207756,best/1/bin,ok
18,COMPLETE,396160688.5856225,397086620.9877216,59.982963,67,1.0960877143343792,0.5749160695707349,best/1/bin,ok
19,COMPLETE,396711008.000045,397086620.9877216,72.9491,78,0.48864239507811297,0.8342211133393267,best/1/bin,ok
20,COMPLETE,396906795.9196497,397086620.9877216,48.696379,52,0.8132723095173322,0.700940733352667,best/1/bin,ok
21,COMPLETE,397080492.96634865,397086620.9877216,91.313277,62,0.44014785761808206,0.506252997494224,best/1/bin,ok
22,COMPLETE,397080902.0979144,397086620.9877216,171.316059,72,0.4403196457023461,0.6073400219394475,best/1/bin,ok
23,COMPLETE,397060533.1291927,397086620.9877216,169.472297,73,0.5876858909833184,0.5986662029675922,best/1/bin,ok
24,COMPLETE,396309418.2900692,397086620.9877216,160.406018,73,0.6188320033897099,0.6639926607342311,best/1/bin,ok
25,COMPLETE,396924989.93633807,397086620.9877216,1872.625161,64,0.7665230337436635,0.6039864370536548,best/1/bin,ok
26,COMPLETE,397083704.40790063,397086620.9877216,68.147516,55,0.4343513668126675,0.7222522527064075,best/1/bin,ok
27,COMPLETE,396802021.0193283,397086620.9877216,50.032593,43,0.39315244591531057,0.8006490996224097,best/1/bin,ok
28,COMPLETE,396363865.3137764,397086620.9877216,60.338348,53,1.033342223601639,0.7217206911071825,best/1/bin,ok
29,COMPLETE,391078063.45957196,397086620.9877216,38.311301,37,1.1953659717675214,0.8225083992503761,best/1/bin,ok
