trial,state,value,best_so_far,duration_seconds,param_pop_size,param_crossover_rate,param_mutation_rate,param_selection_size,param_elitism_count,param_local_search_freq,param_local_search_top_k,param_local_search_iters,param_local_search_T,param_local_search_cooling,user_eval_status
0,COMPLETE,396451216.38991314,396451216.38991314,65.042023,35,0.9278214378844623,0.22227824312530747,4,1,7,2,45,63583.588566762424,0.9053410475608532,ok
1,COMPLETE,395147752.1776916,396451216.38991314,78.15689,20,0.9364594334728974,0.2514083658321223,2,1,7,4,31,19762.189340280052,0.7844564506574321,ok
2,COMPLETE,396389991.78484946,396451216.38991314,93.156466,45,0.5627722372934189,0.09472194807521325,3,3,17,3,31,59874.749104614006,0.7134706196887993,ok
3,COMPLETE,396643284.71929896,396643284.71929896,48.89484,44,0.5767358556592812,0.02886496196573106,5,5,17,4,14,112901.33559092655,0.8276442231844844,ok
4,COMPLETE,396744080.40568906,396744080.40568906,35.821434,25,0.7228296095500716,0.019972671123413333,5,2,15,4,31,43664.73592979633,0.7536077921024028,ok
5,COMPLETE,391565401.7452184,396744080.40568906,57.279676,59,0.8488097705125015,0.2824546930536148,5,3,19,2,18,1366.7272915456215,0.7943457959213467,ok
6,COMPLETE,395655338.6921772,396744080.40568906,45.640868,35,0.6221070642982531,0.2503338776540595,3,2,13,3,42,1673.6010167825768,0.98619721161415,ok
7,COMPLETE,396515769.5455103,396744080.40568906,73.447754,51,0.5894220566903776,0.011601413965844696,5,4,16,8,13,11895.89673755353,0.7336020272622876,ok
8,COMPLETE,396505126.57674575,396744080.40568906,86.228871,55,0.780484157072401,0.10596042720726825,2,2,10,8,36,458815.65491609747,0.8369423282969652,ok
9,COMPLETE,394891954.31181085,396744080.40568906,38.960415,24,0.8209601542503477,0.23062766409890026,4,4,12,6,27,1191.9481947918725,0.7312885138280583,ok
10,COMPLETE,396029763.4088484,396744080.40568906,44.967176,28,0.7129972946546008,0.16023077770340938,4,2,14,10,23,693243.2173673797,0.914137607970256,ok
11,COMPLETE,395915645.94049454,396744080.40568906,90.7269,43,0.504217675338206,0.016809039536662206,5,5,19,5,10,218130.55620922765,0.8019533225027052,ok
12,COMPLETE,396525104.38423634,396744080.40568906,49.339703,34,0.6747233185099901,0.07654029200004969,5,5,16,5,19,139755.16645925664,0.8680129326500092,ok
13,COMPLETE,396656823.68497384,396744080.40568906,59.543584,49,0.6611473808280653,0.050294528177129025,5,4,20,4,38,8465.855726167794,0.7610245341602155,ok
14,COMPLETE,396692525.4477032,396744080.40568906,59.025804,50,0.6583852856684128,0.057994345898822915,4,4,20,7,38,6066.301483290143,0.7568962592834334,ok
15,COMPLETE,396533123.1896013,396744080.40568906,58.581933,29,0.7544458571359682,0.1454534224503928,4,3,11,8,50,4921.474861612616,0.7611616605263448,ok
16,COMPLETE,396819730.2929274,396819730.2929274,155.634117,38,0.7221164201995356,0.0596791256899606,3,2,5,7,36,3753.15576140286,0.75805120537713,ok
17,COMPLETE,396652274.91683704,396819730.2929274,152.374513,30,0.7299624002590848,0.1336405331672873,3,2,5,6,34,27469.6644083134,0.8717877537812484,ok
18,COMPLETE,396887162.33994377,396887162.33994377,60917.481588,39,0.8588740327008654,0.05051348696541303,3,1,9,10,26,3226.5959783560097,0.712573557817774,ok
19,COMPLETE,396206771.73877645,396887162.33994377,51.690811,39,0.8856954381580235,0.1708015565804773,3,1,9,10,25,3677.518595443718,0.7001885708530035,ok
20,COMPLETE,396557233.605484,396887162.33994377,118.332494,39,0.8211358107443739,0.11387068238303458,2,1,5,9,43,2629.4896078709257,0.7213097048850242,ok
21,COMPLETE,396716988.8388401,396887162.33994377,56.891048,23,0.7682145528463454,0.048420190792788274,3,2,8,9,28,17324.453971709678,0.7580734667994857,ok
22,COMPLETE,396579200.83558357,396887162.33994377,35.491326,32,0.7043906568286196,0.07445087330858695,3,1,14,6,22,53115.99742053086,0.7371725409118588,ok
23,COMPLETE,396756617.48248994,396887162.33994377,71.766951,40,0.7990759037591868,0.04017850986581188,2,2,6,7,33,2746.3220695215637,0.8119577967777706,ok
24,COMPLETE,396598279.7729994,396887162.33994377,62.884371,41,0.8621870230936926,0.0775099401508687,2,2,6,7,35,2510.0631313382273,0.81410098559033,ok
25,COMPLETE,396709484.19714737,396887162.33994377,48.880244,37,0.8034984736618151,0.04261439832777949,2,3,9,7,39,8262.588402459183,0.779578450474919,ok
26,COMPLETE,395140442.0978442,396887162.33994377,76.561935,45,0.8937491569065301,0.1783170073171415,2,1,7,9,33,2446.1793127742435,0.8546066762717044,ok
27,COMPLETE,396488647.8368162,396887162.33994377,70.432206,47,0.8404358240423411,0.11854121012892252,3,1,5,7,28,3940.986348325381,0.7017732622400987,ok
28,COMPLETE,396577869.0849738,396887162.33994377,53.778389,41,0.7929242931772257,0.0881057117583399,3,2,8,8,25,12302.075005270559,0.816081545574436,ok
29,COMPLETE,396517290.1481731,396887162.33994377,72.608101,36,0.9019139781682335,0.19227279937649747,2,1,6,10,49,1880.3444294293026,0.7800223255045289,ok
