trial,state,value,best_so_far,duration_seconds,param_pop_size,param_crossover_rate,param_mutation_rate,param_selection_size,param_elitism_count,user_eval_status
0,COMPLETE,385218981.01948833,385218981.01948833,21.948686,42,0.9278214378844623,0.22227824312530747,4,1,ok
1,COMPLETE,387910170.4557541,387910170.4557541,17.322959,29,0.5261376254756898,0.2611910822747312,4,4,ok
2,COMPLETE,366241791.1456418,387910170.4557541,8.130322,21,0.9364594334728974,0.2514083658321223,2,1,ok
3,COMPLETE,393028607.8576425,393028607.8576425,16.646853,31,0.636909009331792,0.16217936517334897,3,2,ok
4,COMPLETE,396497098.15484095,396497098.15484095,59.819687,57,0.5627722372934189,0.09472194807521325,3,3,ok
5,COMPLETE,396105138.48466635,396497098.15484095,55.055593,67,0.5898532019712619,0.15912798713994736,4,1,ok
6,COMPLETE,395631620.8562597,396497098.15484095,58.949847,57,0.5767358556592812,0.02886496196573106,5,5,ok
7,COMPLETE,396538700.60852945,396538700.60852945,51.732899,69,0.6370761961280168,0.03832491306185132,4,3,ok
8,COMPLETE,395036063.786067,396538700.60852945,12.726591,27,0.7228296095500716,0.019972671123413333,5,2,ok
9,COMPLETE,394088246.6538304,396538700.60852945,35.251165,60,0.640269984240235,0.16081972614156514,4,1,ok
10,COMPLETE,396408993.1960844,396538700.60852945,50.179904,79,0.8149437544647187,0.08253713761448575,2,4,ok
11,COMPLETE,396649861.61477584,396649861.61477584,51.094508,73,0.7184034440092973,0.09760414943041187,3,3,ok
12,COMPLETE,396845202.16790867,396845202.16790867,78.097233,80,0.7437026140727516,0.08890403795402371,3,3,ok
13,COMPLETE,396614016.2605423,396845202.16790867,71.199195,79,0.7700082742864611,0.10170982475585329,3,4,ok
14,COMPLETE,394839809.74967134,396845202.16790867,73.920469,71,0.7299434611811487,0.11897879564515687,2,2,ok
15,COMPLETE,396522429.6051954,396845202.16790867,42.457989,45,0.847368312692087,0.06288205759964956,3,3,ok
16,COMPLETE,396324642.4619281,396845202.16790867,64.948517,80,0.7002684636190184,0.12951305033049904,3,5,ok
17,COMPLETE,396619423.99467856,396845202.16790867,58.011892,73,0.8297467574696795,0.06908773397015369,2,4,ok
18,COMPLETE,388323245.7018226,396845202.16790867,63.15578,63,0.7709771995571012,0.2092261543097036,3,2,ok
19,COMPLETE,376479413.4414851,396845202.16790867,52.246873,52,0.8801755420383012,0.2910882570941282,2,3,ok
20,COMPLETE,396060222.49977976,396845202.16790867,59.803207,74,0.6804821410277694,0.13416631732049014,3,4,ok
21,COMPLETE,396691406.4592409,396845202.16790867,55.01897,74,0.7778681605489495,0.06575610614533861,2,4,ok
22,COMPLETE,396371548.79366887,396845202.16790867,64.470114,65,0.772843573600558,0.05217678218848085,2,3,ok
23,COMPLETE,396353712.5138285,396845202.16790867,56.920437,75,0.7441025994697571,0.10528367923024567,3,3,ok
24,COMPLETE,396419742.22522247,396845202.16790867,60.950564,75,0.8020566353077484,0.07356162532345255,2,5,ok
25,COMPLETE,391502475.42483425,396845202.16790867,38.078036,67,0.6785188668603788,0.1815401245887604,3,4,ok
26,COMPLETE,396467882.029441,396845202.16790867,50.376493,80,0.8601702180181618,0.01355421616011998,2,3,ok
27,COMPLETE,396560677.1389119,396845202.16790867,30.496665,52,0.7922802890294436,0.045370783214789115,3,2,ok
28,COMPLETE,396717809.56282604,396845202.16790867,34.566567,63,0.698666532453873,0.08863624758988256,4,4,ok
29,COMPLETE,396617075.37348175,396845202.16790867,21.826684,39,0.8897362516421562,0.13643492931084183,5,5,ok
