trial,state,value,best_so_far,duration_seconds,param_p_toggle,param_p_quantity,param_T_initial,param_T_final,param_cooling_rate,param_max_iterations,param_delta,param_reheat_factor,param_reheat_threshold,user_eval_status
0,COMPLETE,385424189.510208,385424189.510208,2.221752,0.249816047538945,0.5753571532049581,157029.7088405539,1575.132049977973,0.5702083881990965,13,0.06452090304204987,1.8795585311974417,56,ok
1,COMPLETE,370630311.58857536,385424189.510208,2.130229,0.3832290311184182,0.10857901963159898,812324.5085588681,4622.589001020833,0.5955525998052242,13,0.09585112746335846,1.373818018663584,52,ok
2,COMPLETE,394065386.09589404,394065386.09589404,2.881928,0.2727780074568463,0.24561457009902096,68479.20095574774,190.1024531987036,0.6314650918408482,17,0.16401749605425897,1.8066583652537123,32,ok
3,COMPLETE,353869716.3765048,394065386.09589404,1.209144,0.3056937753654446,0.39283420895270404,1378.3237455007175,1640.9286730647925,0.5767358556592812,11,0.2872213843133333,1.9690688297671035,69,ok
4,COMPLETE,370963634.88049245,394065386.09589404,2.476367,0.2218455076693483,0.14883605700319194,112901.33559092655,759.1104805282698,0.5549172056801505,20,0.0585971302788046,1.918388361870904,35,ok
5,COMPLETE,394208147.30031884,394208147.30031884,2.656498,0.36500891374159283,0.2355915395869099,36324.869566766036,1239.9967836846104,0.5831845049864872,30,0.24378320584027863,1.9455490474077703,74,ok
6,COMPLETE,383597917.12217665,394208147.30031884,1.45094,0.3391599915244341,0.524836530281459,1842.7970406864529,246.5844721448738,0.5203522800097421,16,0.14716932242237052,1.3442141285965064,70,ok
7,COMPLETE,-1000000000000.0,394208147.30031884,900.885196,0.2427013306774357,0.2404672548436904,42470.58562261868,191.35880487692302,0.8609886413393177,11,0.2967217341501293,1.7950202923669916,32,timeout
8,COMPLETE,395987694.22729695,395987694.22729695,14.450856,0.10220884684944097,0.5077307142274171,131999.42261535,2870.8753481954695,0.8470716560086755,11,0.13961643213606817,1.204282153572617,72,ok
9,COMPLETE,385154616.1263407,395987694.22729695,7.054921,0.3493192507310232,0.24912936977221645,1551.2259126484742,418.75947189006285,0.6463324949120361,25,0.2093893678388033,1.898491468318694,48,ok
10,COMPLETE,395314610.2868875,395987694.22729695,14.044463,0.10822394243342467,0.4499375049607986,8376.886561830943,7469.602764217579,0.9406505669894417,24,0.11448173815037302,1.1100029463404402,79,ok
11,COMPLETE,395949719.4832846,395987694.22729695,15.333633,0.1027119566779868,0.4500645339702216,7083.801838040397,8696.654444933794,0.9453741640102904,24,0.12111421604541021,1.1099419082794681,80,ok
12,COMPLETE,388869982.6414128,395987694.22729695,8.936673,0.10165832990824042,0.4782822786101503,9164.54778713445,3816.555624863518,0.8197539648215202,24,0.12275933990486176,1.1302272964410252,65,ok
13,COMPLETE,-1000000000000.0,395987694.22729695,5487.874649,0.4984066126989741,0.3554484298836251,8935.933947892852,9970.682275036435,0.9435223404698572,28,0.18887297629107003,1.2754549906378798,80,timeout
14,COMPLETE,396346320.13297606,396346320.13297606,10.992233,0.16451426832112342,0.5826689730327275,365070.25819914805,2993.620086989374,0.786060883928083,20,0.13928292430051528,1.5669627011679836,60,ok
15,COMPLETE,395611164.87909544,396346320.13297606,8.700528,0.17586664509691088,0.598472034935092,808741.1777442787,3045.5354203104384,0.7582682561333516,20,0.21336739704710941,1.5341321511359483,59,ok
16,COMPLETE,-1000000000000.0,396346320.13297606,901.922435,0.16729426646193518,0.5210287121815363,309789.16340134566,2426.325043591685,0.7380177055613979,17,0.14842179595141178,1.6036543037871052,20,timeout
17,COMPLETE,396183843.6116785,396346320.13297606,37.803814,0.16839006884709112,0.5358591304472102,334935.84655174724,612.737780002888,0.8216298104560859,15,0.09101388399430752,1.6160786335968313,62,ok
18,COMPLETE,395972962.89272225,396346320.13297606,26.720741,0.18183678548587867,0.40007203434519206,374671.580474715,733.6538861985155,0.783041016424453,15,0.08293326324267428,1.5946474832456181,44,ok
19,COMPLETE,396219688.9555853,396346320.13297606,22.633132,0.41899914017854706,0.3308116855778329,309806.8902479021,400.00091672701734,0.6845991901651894,19,0.08484400284487358,1.4847110996321222,63,ok
20,COMPLETE,396011067.26261014,396346320.13297606,36.851821,0.4272528100753764,0.31552979762030614,974262.8737880433,103.39939349304957,0.6924976939247461,20,0.18484992284102406,1.4622435747742752,41,ok
21,COMPLETE,395107932.3748719,396346320.13297606,24.466815,0.4476077563455207,0.19913927936276946,340874.63718118094,459.9770572033642,0.6934885515123599,21,0.09338631795049579,1.689967288616868,63,ok
22,COMPLETE,396243019.9556804,396346320.13297606,29.863263,0.1528984567081776,0.31108259196612686,235951.89754346613,443.21692115272606,0.7980314924035157,18,0.07708504057629612,1.4600744665124552,59,ok
23,COMPLETE,392965593.58987683,396346320.13297606,19.391608,0.2126212652973462,0.30812704800051144,192526.0355061693,332.0656686190601,0.7000393585275749,18,0.05072384006476965,1.4813967927334266,55,ok
24,COMPLETE,394638793.494936,396346320.13297606,21.237649,0.14953781272409863,0.30475052640662104,77533.18896457818,1030.3163132741304,0.7824695832500979,21,0.07642981268110921,1.41633445333962,65,ok
25,COMPLETE,-1000000000000.0,396346320.13297606,1541.09894,0.30664136068051956,0.3657039411532189,18253.746115394548,299.06831168262465,0.8884625814688899,19,0.10682843814552044,1.700596826164738,49,timeout
26,COMPLETE,395678565.5871196,396346320.13297606,10.335991,0.1377211751490202,0.41203830428771593,520661.6402318987,114.12827782271413,0.646883725096375,22,0.13269075975116243,1.5123013944709935,60,ok
27,COMPLETE,396361807.2297972,396361807.2297972,9.328135,0.4122969463352818,0.33524446270622366,216738.82554056155,491.2263027795309,0.72406729055153,22,0.06963306419661167,1.3093503374167894,55,ok
28,COMPLETE,396512715.4314909,396512715.4314909,14.582533,0.4940830990281091,0.28253097367023466,203952.18259405883,586.3467511854599,0.7816915860448379,27,0.06611925225189833,1.2869801527771256,54,ok
29,COMPLETE,395525745.4496056,396512715.4314909,10.907323,0.478196618634752,0.2079616299665719,83869.97749491947,1594.9371206066896,0.763301111210349,27,0.06096280526549911,1.291093357739369,54,ok
